WO,Cargo Source,Bound,Commodity,Mode,Term,From,To,FCL_Tues,Air_Kg,LCL_Cbm,PP_CC,Profit
VOL18110069,Nomination,Outbound,Empty Container,FCL,EXW,Ho Chi Minh (Vietnam),Doha (Qatar),18,,,CC,7742.00
VOL18040315,Nomination,Outbound,Bag and Luggage,Air,EXW,Ho Chi Minh (Vietnam),Amsterdam (Netherlands),,5253.00,,PP,3085.50
VOL18010189,Nomination,Outbound,Fashion Accessories,FCL,EXW,Ho Chi Minh (Vietnam),Hong Kong (Hong Kong),10,,,PP,2053.00
VOL18060588,Free Hand,Inbound,Furniture,FCL,DDU,Livorno (Leghorn) (Italy),Ho Chi Minh (Vietnam),2,,,PP,1607.48
VOL18060284,Nomination,Outbound,Car Antenna,FCL,FOB,Ho Chi Minh (Vietnam),Icd Garhi Harsaru (India),6,,,PP,1595.46
VOL18100081,Nomination,Outbound,Garment/Textile,Air,EXW,Ha Noi (Vietnam),Beijing (China),,4465.50,,PP,1461.97
VOL18010572,Nomination,Outbound,Fashion Accessories,Air,FOB,Phnom Penh (Cambodia),"Boston, MA (USA)",,4874.00,,PP,1288.50
VOL18090130,Nomination,Outbound,Garment/Textile,Air,EXW,Ho Chi Minh (Vietnam),Shanghai (China),,3067.00,,PP,1271.85
VOL18060264,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Callao (Peru),8,,,PP,1261.00
VOL18020118,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),8,,,PP,1055.00
VOL18020078,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,17.48,CC,1045.14
VOL18100083,Nomination,Outbound,Garment/Textile,Air,EXW,Ha Noi (Vietnam),Beijing (China),,2676.00,,PP,1019.85
VOL18110427 ,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,9.89,CC,992.67
VOL18050025,Nomination,Outbound,Machinery,FCL,FOB,Ho Chi Minh (Vietnam),Bandar Abbas (Iran),4,,,PP,1008.00
VOL18080471,Nomination,Outbound,Bicycle Components,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),2,,,PP,1000.00
VOL18040008,Nomination,Outbound,Bag and Luggage,Air,FOB,Ho Chi Minh (Vietnam),Amsterdam (Netherlands),,2063.00,,PP,999.68
VOL18010701,Nomination,Outbound,Electrical Equipment,LCL,EXW,Hai Phong (Vietnam),Genoa (Italy),,,11.08,CC,993.78
VOL18020302,Nomination,Outbound,Electrical Equipment,LCL,FOB,Hai Phong (Vietnam),Genoa (Italy),,,9.85,CC,992.50
